symptoms,department
I feel newborn jaundice for the past few days,Pediatrics
Experiencing wart on my finger which is getting worse,Dermatology
bad breath,Dentistry
Dealing with dull numbness in my fingers since this morning,Neurology
I have uterine cramping which is throbbing,Gynecology
I have pregnancy morning sickness which is severe,Gynecology
Lately I have blood pressure screening especially during exercise,General Medicine
dizziness and loss of balance,Neurology
sore neck muscles,Orthopedics
My broken tooth has been throbbing for the past few days,Dentistry
I am experiencing missed period,Gynecology
I feel itchy bumps on arms especially during exercise,Dermatology
I feel muscle tear especially after meals,Orthopedics
My loose tooth has been throbbing which is getting worse,Dentistry
Experiencing chronic nerve pain since this morning,Neurology
Dealing with sinusitis headache,ENT
I am experiencing pelvic pain,Gynecology
My sunburn blisters has been intermittent which is getting worse,Dermatology
Complaining of ovarian cyst pain especially during exercise,Gynecology
Experiencing irregular heartbeats causing discomfort,Cardiology
I feel constant sneezing and it makes me anxious,ENT
I have shortness of breath which is unbearable,Cardiology
Experiencing spine stiffness and it makes me anxious,Orthopedics
Experiencing difficulty swallowing with mild sweating,ENT
My muscle tear has been throbbing at night,Orthopedics
severe dandruff,Dermatology
Dealing with constant shortness of breath when I wake up,Cardiology
Complaining of bloating and gas,General Medicine
Dealing with persistent pressure in my chest since this morning,Cardiology
Dealing with throbbing double vision for over a week,Neurology
Dealing with dull suicidal thoughts causing discomfort,Psychiatry
Complaining of swollen glands in neck which is getting worse,ENT
Severe dandruff off and on,Dermatology
I have had nausea and vomiting,General Medicine
I have ovarian cyst pain which is persistent,Gynecology
I have heel pain while standing which is intermittent,Orthopedics
nasal congestion,ENT
My difficulty concentrating has been dull for over a week,Psychiatry
Experiencing missed period causing discomfort,Gynecology
My numbness in my fingers has been sharp which is getting worse,Neurology
Experiencing high blood pressure at night,Cardiology
Excessive bleeding during cycle which is getting worse,Gynecology
Throat pain when I wake up,ENT
Bone ache with mild sweating,Orthopedics
difficulty concentrating,Psychiatry
My mild diarrhea has been nagging especially after meals,General Medicine
pelvic pain,Gynecology
Dealing with sharp hair thinning for the past few days,Dermatology
vaccination reaction in baby,Pediatrics
Complaining of extreme mood swings with mild sweating,Psychiatry
frequent fainting spells,Neurology
Dealing with unbearable toddler has runny nose and cough off and on,Pediatrics
I have had bloating and PMS when I wake up,Gynecology
I have had dental abscess,Dentistry
My ovarian cyst pain has been mild especially after meals,Gynecology
I have sore neck muscles which is nagging,Orthopedics
I feel chronic backache since this morning,Orthopedics
I am experiencing child has asthma wheezing especially after meals,Pediatrics
Dealing with sunburn blisters,Dermatology
My cough and cold has been dull since this morning,General Medicine
Troubled by post-nasal drip with mild sweating,ENT
Child has high fever when I wake up,Pediatrics
I have had cracking sound in joints,Orthopedics
My frequent fainting spells has been constant causing discomfort,Neurology
I feel bloating and PMS when I wake up,Gynecology
I have dehydration which is constant,General Medicine
Complaining of panic attacks and it makes me anxious,Psychiatry
Complaining of dehydration which is getting worse,General Medicine
My newborn jaundice has been constant at night,Pediatrics
racing heart,Cardiology
I've been having wisdom tooth pain for the past few days,Dentistry
I feel sore elbow for the past few days,Orthopedics
nausea and vomiting,General Medicine
My blistering rash has been severe for over a week,Dermatology
fatigue and body weakness,General Medicine
lower back pain,Orthopedics
Suddenly developed nausea and vomiting for over a week,General Medicine
Heel pain while standing especially after meals,Orthopedics
My arthritis discomfort has been constant for over a week,Orthopedics
My nosebleeds has been constant with mild sweating,ENT
Acid reflux since this morning,General Medicine
Troubled by red itchy skin rash which is getting worse,Dermatology
I feel gum recession especially during exercise,Dentistry
Complaining of seizures and it makes me anxious,Neurology
I have had dry scaly patches which is getting worse,Dermatology
I feel menstrual mood swings with mild sweating,Gynecology
difficulty swallowing,ENT
I feel plaque buildup causing discomfort,Dentistry
Experiencing infant vomiting milk for the past few days,Pediatrics
Troubled by excessive bleeding during cycle for over a week,Gynecology
Suddenly developed loss of appetite with mild sweating,General Medicine
Experiencing ovarian cyst pain with mild sweating,Gynecology
Lately I have cavity in molar when I wake up,Dentistry
Hip discomfort when walking since this morning,Orthopedics
Dealing with skin peeling especially during exercise,Dermatology
Complaining of bone ache,Orthopedics
Dealing with intermittent severe menstrual cramps for over a week,Gynecology
Experiencing dark skin spots off and on,Dermatology
severe headaches,Neurology
Dealing with severe hives on my back causing discomfort,Dermatology
Experiencing numbness in my fingers since this morning,Neurology
I feel difficulty bending my knee for over a week,Orthopedics
Suddenly developed dry scaly patches,Dermatology
migraines,Neurology
Dealing with intermittent hot flashes causing discomfort,Gynecology
paranoia,Psychiatry
spine stiffness,Orthopedics
My cough and cold has been nagging with mild sweating,General Medicine
Suddenly developed runny nose,ENT
infant vomiting milk,Pediatrics
Dealing with dull nasal congestion especially during exercise,ENT
Experiencing suicidal thoughts off and on,Psychiatry
My child has ear infection has been intermittent which is getting worse,Pediatrics
I feel dry mouth when I wake up,Dentistry
wart on my finger,Dermatology
Baby has congestion for over a week,Pediatrics
I have swollen gums which is throbbing,Dentistry
Troubled by tremor in my hands off and on,Neurology
Troubled by bloating and PMS since this morning,Gynecology
I've been having baby has congestion since this morning,Pediatrics
I have bloating and gas which is throbbing,General Medicine
numbness in my fingers,Neurology
I have fluttering chest sensation which is intermittent,Cardiology
I have tightness in chest which is sharp,Cardiology
loss of appetite,General Medicine
Spine stiffness since this morning,Orthopedics
dark skin spots,Dermatology
My dehydration has been nagging and it makes me anxious,General Medicine
My sensitive teeth to cold has been throbbing since this morning,Dentistry
Dealing with dull stiff shoulder joint which is getting worse,Orthopedics
hoarse voice,ENT
I have numbness in my fingers which is nagging,Neurology
Suffering from nasal congestion,ENT
I am experiencing dental abscess,Dentistry
Dealing with throbbing extreme mood swings since this morning,Psychiatry
I feel nasal congestion off and on,ENT
Pelvic pain which is getting worse,Gynecology
Complaining of frequent fainting spells,Neurology
Experiencing ligament pull when I wake up,Orthopedics
I have arthritis discomfort which is severe,Orthopedics
My wisdom tooth pain has been constant especially during exercise,Dentistry
I have sinusitis headache which is sharp,ENT
I have had frequent fainting spells,Neurology
Experiencing ovarian cyst pain especially during exercise,Gynecology
I am experiencing fractured wrist,Orthopedics
Suddenly developed loose tooth,Dentistry
I feel gum recession for over a week,Dentistry
I have breathlessness during walking which is mild,Cardiology
My loss of appetite has been persistent with mild sweating,General Medicine
I feel sore elbow for over a week,Orthopedics
Experiencing post-nasal drip causing discomfort,ENT
Experiencing dehydration at night,General Medicine
Experiencing cavity in molar when I wake up,Dentistry
vaginal dryness,Gynecology
Dealing with mild double vision off and on,Neurology
arthritis discomfort,Orthopedics
I have missed period which is nagging,Gynecology
My hallucinations has been severe at night,Psychiatry
Nausea and vomiting with mild sweating,General Medicine
high blood pressure,Cardiology
Dealing with plugged ear canal,ENT
I feel hair thinning at night,Dermatology
I feel breathlessness during walking off and on,Cardiology
Troubled by mouth sores when I wake up,Dentistry
plugged ear canal,ENT
Dealing with intermittent chronic stress and it makes me anxious,Psychiatry
Complaining of loss of appetite,General Medicine
Vaginal discharge and itching for over a week,Gynecology
Complaining of high blood pressure when I wake up,Cardiology
Postmenopausal bleeding with mild sweating,Gynecology
Dental abscess especially after meals,Dentistry
I have child has chickenpox spots which is severe,Pediatrics
Experiencing racing heart causing discomfort,Cardiology
Experiencing blocked ears at night,ENT
Experiencing psoriasis on my elbows off and on,Dermatology
Experiencing wart on my finger off and on,Dermatology
acne breakouts,Dermatology
Experiencing severe anxiety attacks which is getting worse,Psychiatry
I've been having lower back pain,Orthopedics
I have had child has stomach ache especially after meals,Pediatrics
Experiencing vaginal dryness especially after meals,Gynecology
I have uterine cramping which is intermittent,Gynecology
Complaining of pelvic pain,Gynecology
Lately I have eating disorder behaviors,Psychiatry
I have cavity in molar which is nagging,Dentistry
I have had bad breath,Dentistry
Suicidal thoughts off and on,Psychiatry
Dealing with nagging sore neck muscles when I wake up,Orthopedics
Dealing with constant arthritis discomfort when I wake up,Orthopedics
Red itchy skin rash at night,Dermatology
toothache,Dentistry
I feel cough and cold especially during exercise,General Medicine
postmenopausal bleeding,Gynecology
lightheadedness and sweating,Cardiology
Experiencing broken tooth with mild sweating,Dentistry
general checkup request,General Medicine
I feel racing heart since this morning,Cardiology
I have spine stiffness which is constant,Orthopedics
Lately I have vaginal discharge and itching for the past few days,Gynecology
Experiencing plaque buildup for over a week,Dentistry
I have paranoia which is severe,Psychiatry
I have had vaginal dryness and it makes me anxious,Gynecology
I feel fractured wrist and it makes me anxious,Orthopedics
Lately I have lower back pain at night,Orthopedics
I feel hot flashes with mild sweating,Gynecology
Dealing with constant loss of coordination at night,Neurology
Experiencing toddler refusing to eat when I wake up,Pediatrics
I feel child has stomach ache and it makes me anxious,Pediatrics
Troubled by severe headaches,Neurology
Dealing with irregular periods off and on,Gynecology
My yellowing nails has been constant since this morning,Dermatology
Suddenly developed palpitations,Cardiology
I feel dizziness and loss of balance especially after meals,Neurology
My baby is crying constantly has been throbbing at night,Pediatrics
Experiencing chest pain with mild sweating,Cardiology
constant sneezing,ENT
Ovarian cyst pain off and on,Gynecology
Dealing with lightheadedness and sweating,Cardiology
My postmenopausal bleeding has been severe off and on,Gynecology
I have extreme mood swings which is persistent,Psychiatry
dehydration,General Medicine
I am experiencing runny nose,ENT
Frequent fainting spells since this morning,Neurology
I have hives on my back which is persistent,Dermatology
Dealing with sharp eczema flare up which is getting worse,Dermatology
I've been having cystic acne causing discomfort,Dermatology
I have double vision which is intermittent,Neurology
My skin peeling has been intermittent when I wake up,Dermatology
Dealing with throbbing hallucinations off and on,Psychiatry
Gum recession which is getting worse,Dentistry
I have high blood pressure which is persistent,Cardiology
Experiencing bone ache when I wake up,Orthopedics
Troubled by severe anxiety attacks when I wake up,Psychiatry
I have child has ear infection which is intermittent,Pediatrics
Cracking sound in joints since this morning,Orthopedics
hot flashes,Gynecology
I feel postmenopausal bleeding especially during exercise,Gynecology
Dealing with unbearable loss of appetite for the past few days,General Medicine
Experiencing joint pain in my knee when I wake up,Orthopedics
Breathlessness during walking since this morning,Cardiology
Experiencing difficulty swallowing causing discomfort,ENT
I feel insomnia and lack of sleep off and on,Psychiatry
Dealing with sore throat,ENT
Experiencing facial muscle weakness off and on,Neurology
Dealing with obsession with cleanliness,Psychiatry
Newborn jaundice causing discomfort,Pediatrics
Infant vomiting milk since this morning,Pediatrics
I have racing thoughts and worry which is intermittent,Psychiatry
Complaining of racing thoughts and worry,Psychiatry
I have sore under dentures which is persistent,Dentistry
Dealing with sharp stomach ache especially after meals,General Medicine
Dealing with constant baby has congestion causing discomfort,Pediatrics
Complaining of psoriasis on my elbows,Dermatology
Dealing with severe viral fever when I wake up,General Medicine
I have had manic episodes,Psychiatry
I feel tooth discoloration and it makes me anxious,Dentistry
Complaining of throat pain and it makes me anxious,ENT
I have mouth sores which is constant,Dentistry
Tremor in my hands at night,Neurology
My blood pressure screening has been throbbing especially after meals,General Medicine
Suffering from loss of coordination,Neurology
Troubled by sore throat for over a week,ENT
I feel tremor in my hands especially after meals,Neurology
I have stiff neck and numbness which is unbearable,Neurology
Suddenly developed food poisoning symptoms when I wake up,General Medicine
Experiencing numbness in my fingers which is getting worse,Neurology
loss of coordination,Neurology
My tingling sensation in legs has been unbearable off and on,Neurology
Memory loss which is getting worse,Neurology
I've been having hallucinations,Psychiatry
Dealing with psoriasis on my elbows for over a week,Dermatology
Dealing with severe excessive bleeding during cycle and it makes me anxious,Gynecology
I have nausea and vomiting which is throbbing,General Medicine
Dealing with mild sore throat for over a week,ENT
child has high fever,Pediatrics
Suffering from obsession with cleanliness since this morning,Psychiatry
gingivitis symptoms,Dentistry
Dealing with persistent psoriasis on my elbows for over a week,Dermatology
My general checkup request has been intermittent since this morning,General Medicine
bleeding gums,Dentistry
I have cavity in molar which is persistent,Dentistry
I am experiencing loss of interest in activities,Psychiatry
I feel mild fever since this morning,General Medicine
Experiencing difficulty concentrating especially after meals,Psychiatry
My sore throat has been nagging especially after meals,ENT
My mouth sores has been mild for the past few days,Dentistry
Experiencing wisdom tooth pain since this morning,Dentistry
My chills and sweating has been mild causing discomfort,General Medicine
Dealing with sharp runny nose for the past few days,ENT
hip discomfort when walking,Orthopedics
Experiencing lower back pain off and on,Orthopedics
My blocked ears has been constant since this morning,ENT
Troubled by mild fever,General Medicine
uncontrollable fear,Psychiatry
Fungal infection on toes off and on,Dermatology
Hot flashes since this morning,Gynecology
Experiencing lower back pain with mild sweating,Orthopedics
I feel acid reflux with mild sweating,General Medicine
My severe menstrual cramps has been nagging causing discomfort,Gynecology
I have hallucinations which is throbbing,Psychiatry
Dealing with unbearable tooth discoloration especially after meals,Dentistry
I feel sore under dentures which is getting worse,Dentistry
My lightheadedness and sweating has been sharp with mild sweating,Cardiology
Suddenly developed chronic nerve pain and it makes me anxious,Neurology
Experiencing hair thinning off and on,Dermatology
Troubled by blocked ears at night,ENT
Lately I have vaginal dryness,Gynecology
Suddenly developed kids sore throat,Pediatrics
racing thoughts and worry,Psychiatry
I've been having sunburn blisters,Dermatology
Lately I have loss of appetite and it makes me anxious,General Medicine
Growth milestone concerns and it makes me anxious,Pediatrics
Suddenly developed muscle weakness,General Medicine
Lately I have frequent fainting spells and it makes me anxious,Neurology
Experiencing hallucinations for over a week,Psychiatry
Experiencing fluttering chest sensation off and on,Cardiology
I feel mole changes shape which is getting worse,Dermatology
eczema flare up,Dermatology
I have dehydration which is dull,General Medicine
Dealing with toothache especially during exercise,Dentistry
Experiencing severe headaches especially during exercise,Neurology
I have had toddler has runny nose and cough,Pediatrics
Suffering from sinusitis headache especially after meals,ENT
Dealing with mild chest pain which is getting worse,Cardiology
facial muscle weakness,Neurology
My dental abscess has been persistent for over a week,Dentistry
swollen ankles,Cardiology
Dealing with mild tremor in my hands especially during exercise,Neurology
I am experiencing fatigue and body weakness,General Medicine
I've been having muscle weakness,General Medicine
Suffering from blistering rash,Dermatology
Dealing with throbbing growth milestone concerns and it makes me anxious,Pediatrics
Viral fever for over a week,General Medicine
Lately I have hip discomfort when walking especially after meals,Orthopedics
stomach ache,General Medicine
I feel hormonal imbalance and it makes me anxious,Gynecology
Dealing with gingivitis symptoms,Dentistry
My ovarian cyst pain has been sharp especially during exercise,Gynecology
Lately I have hormonal imbalance off and on,Gynecology
Palpitations and it makes me anxious,Cardiology
I have sore throat which is mild,ENT
I have loss of interest in activities which is dull,Psychiatry
Suffering from baby has diaper rash which is getting worse,Pediatrics
I am experiencing bedwetting issues off and on,Pediatrics
dizziness and rapid pulse,Cardiology
I have had high blood pressure,Cardiology
Swollen ankle joint and it makes me anxious,Orthopedics
Fatigue and body weakness when I wake up,General Medicine
Dealing with constant post-nasal drip causing discomfort,ENT
Dealing with nagging bedwetting issues causing discomfort,Pediatrics
Migraines for over a week,Neurology
Experiencing panic attacks especially during exercise,Psychiatry
Complaining of chest pain for over a week,Cardiology
Dealing with irregular periods when I wake up,Gynecology
swollen gums,Dentistry
Hallucinations and it makes me anxious,Psychiatry
Complaining of hallucinations since this morning,Psychiatry
Lately I have seizures when I wake up,Neurology
Shaking fingers especially after meals,Neurology
Suffering from double vision which is getting worse,Neurology
Dealing with severe PTSD flashbacks for the past few days,Psychiatry
Dealing with nagging vaginal discharge and itching especially during exercise,Gynecology
I have heart pounding which is persistent,Cardiology
Dealing with nagging growth milestone concerns off and on,Pediatrics
Dealing with mild plaque buildup since this morning,Dentistry
I am experiencing heart pounding causing discomfort,Cardiology
I have had dehydration and it makes me anxious,General Medicine
Experiencing uncontrollable fear and it makes me anxious,Psychiatry
excessive bleeding during cycle,Gynecology
Dealing with mild stomach ache when I wake up,General Medicine
Dealing with dull breathlessness during walking with mild sweating,Cardiology
Suddenly developed pediatric eczema,Pediatrics
Dealing with mild gum recession especially after meals,Dentistry
I have cystic acne which is nagging,Dermatology
Experiencing muscle spasms especially after meals,Neurology
Experiencing frequent fainting spells and it makes me anxious,Neurology
My constant sneezing has been sharp for the past few days,ENT
difficulty bending my knee,Orthopedics
I am experiencing muscle tear especially after meals,Orthopedics
I have ringing in my ears which is throbbing,ENT
Suddenly developed irregular periods,Gynecology
bloating and gas,General Medicine
I have tooth discoloration which is unbearable,Dentistry
Experiencing mild fever with mild sweating,General Medicine
My bone ache has been constant especially after meals,Orthopedics
Shortness of breath with mild sweating,Cardiology
Suffering from numbness in my fingers for over a week,Neurology
Dealing with nagging psoriasis on my elbows especially after meals,Dermatology
Stiff shoulder joint especially after meals,Orthopedics
Stiff shoulder joint off and on,Orthopedics
Irregular periods off and on,Gynecology
Dealing with dull tingling sensation in legs which is getting worse,Neurology
Experiencing viral fever since this morning,General Medicine
Palpitations when I wake up,Cardiology
Experiencing food poisoning symptoms off and on,General Medicine
My post-nasal drip has been dull when I wake up,ENT
I feel child has asthma wheezing off and on,Pediatrics
I feel racing heart for over a week,Cardiology
Lately I have left arm pain and chest tightness causing discomfort,Cardiology
My pregnancy morning sickness has been sharp especially after meals,Gynecology
My heel pain while standing has been throbbing for the past few days,Orthopedics
I have newborn jaundice which is mild,Pediatrics
I have had sunburn blisters,Dermatology
I have loss of appetite which is dull,General Medicine
Muscle weakness at night,General Medicine
I have ovarian cyst pain which is constant,Gynecology
Wisdom tooth pain for the past few days,Dentistry
Experiencing hot flashes which is getting worse,Gynecology
I have dizziness and loss of balance which is severe,Neurology
pain during intercourse,Gynecology
My difficulty concentrating has been dull since this morning,Psychiatry
Dealing with severe cracking sound in joints when I wake up,Orthopedics
I have social anxiety which is constant,Psychiatry
Troubled by swollen ankles,Cardiology
I feel cavity in molar at night,Dentistry
I feel fungal infection on toes especially after meals,Dermatology
Suddenly developed toddler refusing to eat,Pediatrics
I've been having pregnancy morning sickness,Gynecology
Experiencing insomnia and lack of sleep especially during exercise,Psychiatry
post-nasal drip,ENT
I feel mole changes shape since this morning,Dermatology
Experiencing high blood pressure off and on,Cardiology
Experiencing mild diarrhea and it makes me anxious,General Medicine
My dizziness and rapid pulse has been unbearable causing discomfort,Cardiology
I have swelling in my feet which is unbearable,Cardiology
My baby has congestion has been nagging for the past few days,Pediatrics
psoriasis on my elbows,Dermatology
My difficulty concentrating has been constant which is getting worse,Psychiatry
My heart pounding has been unbearable especially during exercise,Cardiology
Suddenly developed hormonal imbalance causing discomfort,Gynecology
Dealing with heel pain while standing,Orthopedics
I've been having toddler refusing to eat especially after meals,Pediatrics
Dealing with persistent tingling sensation in legs and it makes me anxious,Neurology
Experiencing vaginal dryness and it makes me anxious,Gynecology
suicidal thoughts,Psychiatry
loss of smell,ENT
High blood pressure when I wake up,Cardiology
Severe anxiety attacks at night,Psychiatry
Experiencing bedwetting issues at night,Pediatrics
I feel menstrual mood swings since this morning,Gynecology
Experiencing runny nose for over a week,ENT
I have double vision which is unbearable,Neurology
My cardiac fatigue has been persistent especially during exercise,Cardiology
My throat pain has been dull for the past few days,ENT
Dealing with persistent shortness of breath which is getting worse,Cardiology
Dealing with sharp child has high fever when I wake up,Pediatrics
My headache and body pain has been severe when I wake up,General Medicine
I have hearing loss which is throbbing,ENT
Dealing with unbearable bedwetting issues since this morning,Pediatrics
I am experiencing loss of smell,ENT
Experiencing nosebleeds at night,ENT
My kids sore throat has been constant for over a week,Pediatrics
I have migraines which is severe,Neurology
sinusitis headache,ENT
Experiencing panic attacks for over a week,Psychiatry
I feel stomach ache since this morning,General Medicine
I have eating disorder behaviors which is sharp,Psychiatry
Experiencing paranoia off and on,Psychiatry
stiff neck and numbness,Neurology
My chronic backache has been constant causing discomfort,Orthopedics
Extreme mood swings at night,Psychiatry
I am experiencing lower back pain,Orthopedics
I feel uterine cramping especially during exercise,Gynecology
My broken tooth has been dull especially after meals,Dentistry
irregular heartbeats,Cardiology
Ovarian cyst pain for over a week,Gynecology
I have infant vomiting milk which is dull,Pediatrics
My cystic acne has been unbearable causing discomfort,Dermatology
My child has ear infection has been nagging for the past few days,Pediatrics
Dealing with constant loss of interest in activities and it makes me anxious,Psychiatry
My sciatica pain down leg has been persistent which is getting worse,Orthopedics
wisdom tooth pain,Dentistry
I feel lower back pain with mild sweating,Orthopedics
Dealing with dizziness and rapid pulse,Cardiology
tooth discoloration,Dentistry
I feel dry mouth since this morning,Dentistry
breathlessness during walking,Cardiology
Lately I have blood pressure screening when I wake up,General Medicine
I feel chronic backache when I wake up,Orthopedics
sunburn blisters,Dermatology
I feel extreme mood swings causing discomfort,Psychiatry
mild fever,General Medicine
difficulty speaking clearly,Neurology
I have cystic acne which is severe,Dermatology
Experiencing sore under dentures off and on,Dentistry
My blocked ears has been sharp off and on,ENT
Dealing with throbbing fungal infection on toes since this morning,Dermatology
I am experiencing severe headaches with mild sweating,Neurology
Experiencing frequent fainting spells at night,Neurology
I feel cystic acne when I wake up,Dermatology
Dealing with shaking fingers and it makes me anxious,Neurology
Complaining of feeling depressed and sad,Psychiatry
Dealing with intermittent severe headaches with mild sweating,Neurology
Experiencing dry mouth especially during exercise,Dentistry
Suddenly developed my toddler has colic at night,Pediatrics
Dealing with mouth sores causing discomfort,Dentistry
Dealing with sharp headache and body pain causing discomfort,General Medicine
My hoarse voice has been mild at night,ENT
bedwetting issues,Pediatrics
I've been having gum recession,Dentistry
I've been having blocked ears and it makes me anxious,ENT
I have lower back pain which is persistent,Orthopedics
child has chickenpox spots,Pediatrics
ringing in my ears,ENT
Experiencing nasal congestion since this morning,ENT
My toddler has colic since this morning,Pediatrics
Dealing with persistent swollen ankle joint for over a week,Orthopedics
Dealing with unbearable paranoia since this morning,Psychiatry
I have fractured wrist which is severe,Orthopedics
Lately I have acne breakouts,Dermatology
I have vaginal dryness which is dull,Gynecology
I have loss of appetite which is nagging,General Medicine
I feel dark skin spots since this morning,Dermatology
Experiencing dry scaly patches especially after meals,Dermatology
I have palpitations which is constant,Cardiology
loose tooth,Dentistry
Complaining of tremor in my hands,Neurology
Itchy bumps on arms at night,Dermatology
Troubled by frequent fainting spells,Neurology
I have skin peeling which is severe,Dermatology
Complaining of cystic acne and it makes me anxious,Dermatology
I have left arm pain and chest tightness which is sharp,Cardiology
Difficulty swallowing especially during exercise,ENT
heart pounding,Cardiology
Panic attacks which is getting worse,Psychiatry
My stomach ache has been dull for over a week,General Medicine
I feel seizures with mild sweating,Neurology
Dealing with unbearable nasal congestion causing discomfort,ENT
Lately I have left arm pain and chest tightness,Cardiology
Dealing with mild pressure in my chest for over a week,Cardiology
severe anxiety attacks,Psychiatry
Dealing with wart on my finger especially after meals,Dermatology
Dealing with mild tremor in my hands when I wake up,Neurology
broken tooth,Dentistry
My shaking fingers has been throbbing at night,Neurology
Racing heart especially after meals,Cardiology
Experiencing muscle spasms off and on,Neurology
Lately I have difficulty bending my knee at night,Orthopedics
Dealing with constant skin peeling especially after meals,Dermatology
Suddenly developed numbness in my fingers,Neurology
