symptoms,disease
Complaining of burning sensation during urination together with lower pelvic pain.,Urinary tract infection
Nausea and pain behind eyes which is getting worse.,Dengue
Experiencing dark urine along with yellow skin.,Hepatitis B
I have dry cough at night and difficulty catching breath.,Bronchial Asthma
Dealing with severe itching in anal area and anal lumps.,Dimorphic hemorrhoids(piles)
"Started with room spinning, now I also feel nausea.",(vertigo) Paroxysmal Positional Vertigo
I feel anal lumps and painful bowel movements.,Dimorphic hemorrhoids(piles)
Acute chest pain,Heart attack
I feel extreme body weakness and constipation.,Typhoid
I've been suffering from nosebleeds and chest pressure for a few days.,Hypertension
I've been suffering from visual aura and sensitivity to light for a few days.,Migraine
Experiencing itching in anal area along with anal lumps.,Dimorphic hemorrhoids(piles)
Experiencing cavity in molar along with tooth sensitivity to hot cold.,Cavity
High fever and severe bone joint pain which is getting worse.,Dengue
Complaining of unable to fall asleep together with disturbed sleep.,Insomnia
I have nosebleeds and high blood pressure.,Hypertension
I have severe shivering and sweating.,Malaria
Dealing with severe fatigue and yellow eyes.,Jaundice
I have high fever with chills and cough with green sputum.,Pneumonia
Clogged ear sensation,Otitis Media
Nausea,Hepatitis C
"Started with blisters, now I also feel red sores around nose.",Impetigo
Abdominal discomfort and fatigue which is getting worse.,Hepatitis D
Loss of interest in hobbies,Depression
I feel frequent urge to urinate and lower pelvic pain.,Urinary tract infection
Anal lumps,Dimorphic hemorrhoids(piles)
Experiencing inflamed red bumps along with blackheads.,Acne
Dealing with severe feeling empty and hopeless and loss of interest in hobbies.,Depression
Experiencing cracking knee joint along with joint stiffness in morning.,Osteoarthritis
I feel skin peeling and swollen lips after medicine.,Drug Reaction
"Started with frequent urge to urinate, now I also feel lower pelvic pain.",Urinary tract infection
Dry cracked skin and itchy elbows which is getting worse.,Psoriasis
Complaining of skin peeling together with swollen lips after medicine.,Drug Reaction
I have skin peeling and dry scaly patches.,Fungal infection
I've been suffering from sour taste in mouth and bloating for a few days.,GERD
Sweating,Malaria
I feel red tender gums and swollen bleeding gums.,Bleeding gums
"Started with numbness in fingers, now I also feel arm tingling.",Cervical spondylosis
Dealing with severe constant sneezing and watery eyes.,Allergy
Experiencing dark yellow urine along with fever.,Hepatitis E
Complaining of jaundice together with fever.,Hepatitis E
"Started with honey colored crusts on skin, now I also feel blisters.",Impetigo
Complaining of blood while brushing teeth together with swollen bleeding gums.,Bleeding gums
"Started with sudden dizziness, now I also feel hunger and confusion.",Hypoglycemia
I've been suffering from frequent urge to urinate and cloudy foul urine for a few days.,Urinary tract infection
I have dark yellow urine and jaundice.,Hepatitis E
I feel fatigue and abdominal swelling.,Hepatitis C
Experiencing hearing muffling along with ear pain.,Otitis Media
Dealing with severe ringworm spots and dry scaly patches.,Fungal infection
Aching heavy legs,Varicose veins
Dealing with severe neck pain and shoulder stiffness.,Cervical spondylosis
Stiff fingers,Arthritis
I have unexplained weight loss and persistent cough for 3 weeks.,Tuberculosis
Tooth sensitivity to hot cold and visible hole in tooth which is getting worse.,Cavity
Dealing with severe spider veins and leg cramping at night.,Varicose veins
Dealing with severe cold sensitivity and dry skin.,Hypothyroidism
Feeling empty and hopeless,Depression
Dark urine and nausea which is getting worse.,Hepatitis B
Body aches,Chicken pox
I feel warm red joints and stiff fingers.,Arthritis
Swollen painful joints,Arthritis
Racing heart rate,Hyperthyroidism
Dealing with severe nasal blockage and sinus headache.,Sinusitis
I have child colic and infant teething fever.,Toddler high fever
I have hip joint stiffness and joint stiffness in morning.,Osteoarthritis
Experiencing sweaty palms along with nervous stomach.,Anxiety
Dealing with severe nausea and yellow skin.,Hepatitis B
I've been suffering from sharp pain in tooth and gum sensitivity for a few days.,Toothache
Complaining of joint inflammation together with swollen painful joints.,Arthritis
I've been suffering from jaundice symptoms and abdominal discomfort for a few days.,Hepatitis D
Complaining of knee pain when bending together with hip joint stiffness.,Osteoarthritis
Visible hole in tooth and tooth sensitivity to hot cold which is getting worse.,Cavity
Complaining of abdominal swelling together with yellowing of eyes.,Hepatitis C
I feel throbbing headache and dizziness.,Migraine
Complaining of heat sensitivity together with rapid weight loss.,Hyperthyroidism
Experiencing loss of interest in hobbies along with feeling empty and hopeless.,Depression
"Started with dry cough at night, now I also feel difficulty catching breath.",Bronchial Asthma
Dealing with severe heart palpitations and sudden dizziness.,Hypoglycemia
"Started with jaundice, now I also feel nausea.",Hepatitis A
I've been suffering from dark yellow urine and vomiting for a few days.,Hepatitis E
I've been suffering from persistent cough for 3 weeks and night sweats for a few days.,Tuberculosis
I feel disturbed sleep and waking up tired.,Insomnia
I feel cavity in molar and visible hole in tooth.,Cavity
Mild sore throat,Common Cold
I have cavity in molar and tooth sensitivity to hot cold.,Cavity
I feel fatigue and jaundice symptoms.,Hepatitis D
Congested sinus,Common Cold
"Started with high fever with chills, now I also feel chest pain when breathing.",Pneumonia
Complaining of continuous high fever together with headache.,Typhoid
I feel red itchy skin rash and dry scaly patches.,Fungal infection
I've been suffering from sweating and high fever with chills for a few days.,Malaria
Complaining of pelvic cramps during cycle together with heavy period bleeding.,Dysmenorrhea
Experiencing wheezing along with chest tightness when breathing.,Bronchial Asthma
Experiencing jaundice along with nausea.,Hepatitis A
I've been suffering from bloating and sour taste in mouth for a few days.,GERD
Complaining of chest tightness when breathing together with wheezing.,Bronchial Asthma
Staying awake at night and unable to fall asleep which is getting worse.,Insomnia
"Started with stomach cramps, now I also feel watery diarrhea.",Gastroenteritis
Mild fever,Gastroenteritis
Frequent urge to urinate and burning sensation during urination which is getting worse.,Urinary tract infection
I've been suffering from fatigue and abdominal discomfort for a few days.,Hepatitis D
I feel acid reflux and chest burn after eating.,GERD
Stomach pain and constipation which is getting worse.,Typhoid
I have facial pain under eyes and thick yellow nasal discharge.,Sinusitis
I feel chest burn after eating and acid reflux.,GERD
I've been suffering from waking up tired and staying awake at night for a few days.,Insomnia
I've been suffering from nausea and jaundice for a few days.,Hepatitis A
Heat sensitivity,Hyperthyroidism
Experiencing cystic breakouts along with oily skin.,Acne
I have runny nose and sneezing.,Common Cold
I've been suffering from nausea and headache for a few days.,(vertigo) Paroxysmal Positional Vertigo
Dealing with severe vomiting and watery diarrhea.,Gastroenteritis
Inflamed red bumps,Acne
Experiencing red sores around nose along with fluid filled bumps.,Impetigo
"Started with unexplained weight gain, now I also feel thinning hair.",Hypothyroidism
I have red tender gums and blood while brushing teeth.,Bleeding gums
Dealing with severe aching heavy legs and leg cramping at night.,Varicose veins
Toddler high temperature,Toddler high fever
I've been suffering from nausea and vomiting for a few days.,Gastroenteritis
I have pain when chewing and tooth nerve throbbing.,Toothache
I feel visible hole in tooth and cavity in molar.,Cavity
Yellow eyes,Jaundice
I feel racing heart rate and sweating.,Hyperthyroidism
Dealing with severe swollen lips after medicine and skin peeling.,Drug Reaction
Stomach pain,Typhoid
I have constipation and continuous high fever.,Typhoid
Experiencing blood while brushing teeth along with swollen bleeding gums.,Bleeding gums
Headache,Typhoid
Dealing with severe continuous high fever and constipation.,Typhoid
High fever with chills,Pneumonia
"Started with painful bowel movements, now I also feel anal lumps.",Dimorphic hemorrhoids(piles)
Staying awake at night,Insomnia
I have rash spread all over skin and body aches.,Chicken pox
I feel severe bone joint pain and nausea.,Dengue
Experiencing itching in anal area along with anal lumps.,Dimorphic hemorrhoids(piles)
I've been suffering from constant crying spells and feeling empty and hopeless for a few days.,Depression
Unable to fall asleep,Insomnia
Dealing with severe stiff fingers and swollen painful joints.,Arthritis
I feel leg cramping at night and spider veins.,Varicose veins
Experiencing sweaty palms along with nervous stomach.,Anxiety
I've been suffering from oily skin and blackheads for a few days.,Acne
"Started with toddler high temperature, now I also feel baby crying and hot.",Toddler high fever
Itchy throat,Allergy
"Started with slurred speech, now I also feel numbness in arm.",Paralysis (brain hemorrhage)
High blood pressure,Hypertension
Pelvic cramps during cycle,Dysmenorrhea
Complaining of pelvic cramps during cycle together with lower abdominal pain.,Dysmenorrhea
Jaundice symptoms and fatigue which is getting worse.,Hepatitis D
Thick yellow nasal discharge,Sinusitis
I have yellow eyes and fatigue.,Jaundice
Complaining of chest tightness when breathing together with dry cough at night.,Bronchial Asthma
"Started with dry cough at night, now I also feel chest tightness when breathing.",Bronchial Asthma
High fever with chills and sweating which is getting worse.,Malaria
I have headache and loss of balance.,(vertigo) Paroxysmal Positional Vertigo
"Started with high fever with chills, now I also feel headache and muscle ache.",Malaria
Fluid drainage from ear and hearing muffling which is getting worse.,Otitis Media
Complaining of jaundice together with fever.,Hepatitis E
Complaining of yellow eyes together with yellow skin color.,Jaundice
Jaundice symptoms,Hepatitis D
Dealing with severe lower abdominal pain and heavy period bleeding.,Dysmenorrhea
Nausea,Alcoholic hepatitis
I've been suffering from hearing muffling and ear pain for a few days.,Otitis Media
Experiencing visual aura along with nausea.,Migraine
Dealing with severe red tender gums and swollen bleeding gums.,Bleeding gums
I feel runny nose and dry cough.,Common Cold
Dealing with severe swollen painful joints and stiff fingers.,Arthritis
I've been suffering from abdominal swelling and yellowing of eyes for a few days.,Hepatitis C
Extreme body weakness,Typhoid
Abdominal pain under ribs,Hepatitis A
Experiencing abdominal swelling along with jaundice after heavy drinking.,Alcoholic hepatitis
"Started with sudden hives, now I also feel swollen lips after medicine.",Drug Reaction
Experiencing nausea along with abdominal swelling.,Hepatitis C
Experiencing dark urine along with yellow skin.,Hepatitis B
"Started with watery eyes, now I also feel runny nose.",Allergy
Experiencing body aches along with rash spread all over skin.,Chicken pox
Blood while brushing teeth,Bleeding gums
Skin peeling,Fungal infection
Infant teething fever,Toddler high fever
Experiencing itchy fluid filled blisters along with body aches.,Chicken pox
I have baby crying and hot and child colic.,Toddler high fever
I've been suffering from chest pain when breathing and high fever with chills for a few days.,Pneumonia
"Started with high blood pressure, now I also feel nosebleeds.",Hypertension
Dealing with severe pain behind eyes and high fever.,Dengue
I've been suffering from continuous high fever and constipation for a few days.,Typhoid
Complaining of abdominal discomfort together with fatigue.,Hepatitis D
"Started with dry skin, now I also feel thinning hair.",Hypothyroidism
Abdominal discomfort and fatigue which is getting worse.,Hepatitis D
I feel fatigue and abdominal swelling.,Hepatitis C
I've been suffering from nausea and loss of appetite for a few days.,Hepatitis B
I feel nasal blockage and facial pain under eyes.,Sinusitis
Complaining of tooth nerve throbbing together with pain when chewing.,Toothache
I've been suffering from red tender gums and swollen bleeding gums for a few days.,Bleeding gums
"Started with baby crying and hot, now I also feel toddler high temperature.",Toddler high fever
Complaining of hip joint stiffness together with joint stiffness in morning.,Osteoarthritis
Dealing with severe stomach cramps and vomiting.,Gastroenteritis
"Started with lower abdominal pain, now I also feel severe menstrual cramps.",Dysmenorrhea
Experiencing fatigue along with dark tea colored urine.,Jaundice
Dealing with severe burning sensation during urination and lower pelvic pain.,Urinary tract infection
I have severe headache and dizziness.,Hypertension
Experiencing dry skin along with constant fatigue.,Hypothyroidism
Experiencing abdominal swelling along with nausea.,Alcoholic hepatitis
Dealing with severe nausea and throbbing headache.,Migraine
Nausea and shortness of breath which is getting worse.,Heart attack
Fluid drainage from ear,Otitis Media
Sinus headache,Sinusitis
"Started with sweaty palms, now I also feel constant panic feeling.",Anxiety
Sweating and severe shivering which is getting worse.,Malaria
I feel constant panic feeling and sweaty palms.,Anxiety
Complaining of vertigo together with loss of balance.,(vertigo) Paroxysmal Positional Vertigo
Sweating,Heart attack
I have staying awake at night and unable to fall asleep.,Insomnia
"Started with vomiting, now I also feel nausea.",Gastroenteritis
Joint inflammation and warm red joints which is getting worse.,Arthritis
Abdominal discomfort,Hepatitis D
I've been suffering from constipation and headache for a few days.,Typhoid
Pain when chewing,Toothache
I feel severe menstrual cramps and pelvic cramps during cycle.,Dysmenorrhea
Complaining of fever together with rash spread all over skin.,Chicken pox
"Started with fatigue and low energy, now I also feel constant crying spells.",Depression
Dealing with severe fatigue and yellowing of eyes.,Hepatitis C
I have sudden weakness and loss of coordination.,Paralysis (brain hemorrhage)
I've been suffering from shoulder stiffness and neck cracking sound for a few days.,Cervical spondylosis
Visual aura,Migraine
Experiencing dizziness along with nausea.,(vertigo) Paroxysmal Positional Vertigo
Jaundice after heavy drinking,Alcoholic hepatitis
Dry scaly patches,Fungal infection
I feel facial pain under eyes and sinus headache.,Sinusitis
I've been suffering from fever and itchy fluid filled blisters for a few days.,Chicken pox
Complaining of dark yellow urine together with jaundice.,Hepatitis E
Dealing with severe red sores around nose and fluid filled bumps.,Impetigo
Dealing with severe headache and stomach pain.,Typhoid
Dealing with severe mild sore throat and dry cough.,Common Cold
I have dry cough and sneezing.,Common Cold
I feel visible hole in tooth and tooth sensitivity to hot cold.,Cavity
Complaining of headache together with constipation.,Typhoid
Complaining of fatigue together with yellow eyes.,Jaundice
I've been suffering from warm red joints and stiff fingers for a few days.,Arthritis
Facial droop and numbness in arm which is getting worse.,Paralysis (brain hemorrhage)
Complaining of honey colored crusts on skin together with red sores around nose.,Impetigo
Complaining of nausea together with jaundice after heavy drinking.,Alcoholic hepatitis
Ear pain,Otitis Media
I have leg cramping at night and aching heavy legs.,Varicose veins
Joint stiffness in morning,Osteoarthritis
I've been suffering from jaundice and fever for a few days.,Hepatitis E
Experiencing abdominal swelling along with fatigue.,Hepatitis C
Complaining of sharp pain in tooth together with gum sensitivity.,Toothache
Shoulder stiffness,Cervical spondylosis
Tooth sensitivity to hot cold and cavity in molar which is getting worse.,Cavity
"Started with wheezing, now I also feel difficulty catching breath.",Bronchial Asthma
I feel difficulty walking and numbness in arm.,Paralysis (brain hemorrhage)
Complaining of sour taste in mouth together with chest burn after eating.,GERD
Experiencing facial pain under eyes along with sinus headache.,Sinusitis
I've been suffering from high fever with chills and sweating for a few days.,Malaria
Dealing with severe stiff fingers and warm red joints.,Arthritis
I have swollen purple veins on legs and aching heavy legs.,Varicose veins
Dealing with severe blood while brushing teeth and red tender gums.,Bleeding gums
Dealing with severe cough with green sputum and shortness of breath.,Pneumonia
Complaining of facial droop together with loss of coordination.,Paralysis (brain hemorrhage)
Sweating and nausea which is getting worse.,Heart attack
Ear pain and fluid drainage from ear which is getting worse.,Otitis Media
I've been suffering from abdominal discomfort and jaundice symptoms for a few days.,Hepatitis D
I feel coughing up blood and persistent cough for 3 weeks.,Tuberculosis
"Started with ear pain, now I also feel hearing muffling.",Otitis Media
"Started with swollen purple veins on legs, now I also feel leg cramping at night.",Varicose veins
I have sweaty palms and nervous stomach.,Anxiety
"Started with fluid filled bumps, now I also feel blisters.",Impetigo
Dealing with severe visible hole in tooth and tooth sensitivity to hot cold.,Cavity
I feel coughing up blood and night sweats.,Tuberculosis
I have cavity in molar and visible hole in tooth.,Cavity
"Started with sudden weakness, now I also feel loss of coordination.",Paralysis (brain hemorrhage)
I have arm tingling and numbness in fingers.,Cervical spondylosis
Child colic,Toddler high fever
I've been suffering from sharp pain in tooth and pain when chewing for a few days.,Toothache
Experiencing heavy period bleeding along with severe menstrual cramps.,Dysmenorrhea
Vertigo,(vertigo) Paroxysmal Positional Vertigo
Fatigue,Hepatitis A
Painful bowel movements,Dimorphic hemorrhoids(piles)
Dizziness and severe headache which is getting worse.,Hypertension
I have hunger and confusion and shakiness and sweating.,Hypoglycemia
I have silver scaly patches and itchy elbows.,Psoriasis
Cracking knee joint,Osteoarthritis
Rash spread all over skin and body aches which is getting worse.,Chicken pox
I've been suffering from unexplained weight loss and coughing up blood for a few days.,Tuberculosis
I have inflamed red bumps and oily skin.,Acne
Infant teething fever and child colic which is getting worse.,Toddler high fever
"Started with fever, now I also feel vomiting.",Hepatitis E
I feel sweating and acute chest pain.,Heart attack
I've been suffering from arm tingling and neck pain for a few days.,Cervical spondylosis
"Started with fatigue, now I also feel jaundice.",Hepatitis A
"Started with headache and muscle ache, now I also feel severe shivering.",Malaria
I have swollen bleeding gums and blood while brushing teeth.,Bleeding gums
Joint inflammation,Arthritis
I've been suffering from coughing up blood and persistent cough for 3 weeks for a few days.,Tuberculosis
Lower pelvic pain,Urinary tract infection
I feel honey colored crusts on skin and red sores around nose.,Impetigo
Dark tea colored urine,Jaundice
I have fatigue and yellowing of eyes.,Hepatitis C
I feel pimples on face and cystic breakouts.,Acne
Dealing with severe nausea and fatigue.,Hepatitis A
Complaining of numbness in arm together with difficulty walking.,Paralysis (brain hemorrhage)
Nausea,(vertigo) Paroxysmal Positional Vertigo
"Started with nausea, now I also feel yellowing of eyes.",Hepatitis C
Complaining of pain behind eyes together with nausea.,Dengue
I have waking up tired and unable to fall asleep.,Insomnia
I feel visible hole in tooth and cavity in molar.,Cavity
I feel baby crying and hot and infant teething fever.,Toddler high fever
I've been suffering from sudden weakness and facial droop for a few days.,Paralysis (brain hemorrhage)
"Started with joint pain, now I also feel dark urine.",Hepatitis B
Severe bone joint pain,Dengue
Shakiness and sweating and sudden dizziness which is getting worse.,Hypoglycemia
I have nausea and fatigue.,Alcoholic hepatitis
Complaining of fever together with jaundice.,Hepatitis E
Complaining of blisters together with honey colored crusts on skin.,Impetigo
Dealing with severe vomiting and mild fever.,Gastroenteritis
Persistent cough for 3 weeks,Tuberculosis
Dealing with severe vomiting and dark yellow urine.,Hepatitis E
Sour taste in mouth and acid reflux which is getting worse.,GERD
"Started with extreme body weakness, now I also feel headache.",Typhoid
Constant sneezing,Allergy
Experiencing nosebleeds along with dizziness.,Hypertension
Racing thoughts,Anxiety
I have fatigue and nausea.,Hepatitis A
I've been suffering from red tender gums and swollen bleeding gums for a few days.,Bleeding gums
Experiencing blackheads along with pimples on face.,Acne
I've been suffering from neck pain and neck cracking sound for a few days.,Cervical spondylosis
Experiencing swollen bleeding gums along with blood while brushing teeth.,Bleeding gums
Itchy fluid filled blisters and fever which is getting worse.,Chicken pox
I have shortness of breath and cough with green sputum.,Pneumonia
Severe menstrual cramps,Dysmenorrhea
Vomiting,Gastroenteritis
I have constant fatigue and unexplained weight gain.,Hypothyroidism
I feel fluid drainage from ear and clogged ear sensation.,Otitis Media
"Started with thick yellow nasal discharge, now I also feel facial pain under eyes.",Sinusitis
Vomiting and fever which is getting worse.,Hepatitis E
Swollen bleeding gums and blood while brushing teeth which is getting worse.,Bleeding gums
I have bloating and sour taste in mouth.,GERD
Experiencing high blood pressure along with shortness of breath.,Hypertension
I've been suffering from restlessness and nervous stomach for a few days.,Anxiety
Complaining of yellowing of eyes together with abdominal swelling.,Hepatitis C
Sharp pain in tooth and pain when chewing which is getting worse.,Toothache
I have bloating and heartburn.,GERD
"Started with abdominal swelling, now I also feel yellowing of eyes.",Hepatitis C
Complaining of sweating together with nausea.,Heart attack
Staying awake at night and waking up tired which is getting worse.,Insomnia
I feel dark urine and fatigue.,Hepatitis A
Honey colored crusts on skin and red sores around nose which is getting worse.,Impetigo
Yellowing of eyes,Hepatitis C
I have jaundice after heavy drinking and abdominal swelling.,Alcoholic hepatitis
Loss of appetite,Jaundice
Dealing with severe nervous stomach and racing thoughts.,Anxiety
I've been suffering from dark urine and loss of appetite for a few days.,Hepatitis B
Complaining of warm red joints together with swollen painful joints.,Arthritis
I feel rectal bleeding and painful bowel movements.,Dimorphic hemorrhoids(piles)
Complaining of skin peeling together with fungal patches on toes.,Fungal infection
I have fatigue and yellowing of eyes.,Hepatitis C
Constant fatigue,Hypothyroidism
I feel nosebleeds and dizziness.,Hypertension
I feel difficulty catching breath and dry cough at night.,Bronchial Asthma
I feel chest pain when breathing and high fever with chills.,Pneumonia
Experiencing vomiting along with dark yellow urine.,Hepatitis E
Complaining of tooth sensitivity to hot cold together with visible hole in tooth.,Cavity
Itchy elbows and silver scaly patches which is getting worse.,Psoriasis
I have skin plaques and itchy elbows.,Psoriasis
Dealing with severe chest pressure and nosebleeds.,Hypertension
"Started with fatigue, now I also feel loss of appetite.",Jaundice
Red itchy skin rash,Fungal infection
Experiencing dark urine along with joint pain.,Hepatitis B
Complaining of sweating together with racing heart rate.,Hyperthyroidism
Jaundice,Hepatitis A
I feel persistent cough for 3 weeks and unexplained weight loss.,Tuberculosis
I've been suffering from severe shivering and high fever with chills for a few days.,Malaria
Dealing with severe cough with green sputum and chest pain when breathing.,Pneumonia
I have swollen bleeding gums and blood while brushing teeth.,Bleeding gums
I have loss of appetite and yellow eyes.,Jaundice
Cracking knee joint and joint stiffness in morning which is getting worse.,Osteoarthritis
I have lower pelvic pain and cloudy foul urine.,Urinary tract infection
"Started with constant crying spells, now I also feel feeling empty and hopeless.",Depression
Burning sensation during urination,Urinary tract infection
Cavity in molar and visible hole in tooth which is getting worse.,Cavity
I've been suffering from rectal bleeding and painful bowel movements for a few days.,Dimorphic hemorrhoids(piles)
Complaining of itchy body rash together with sudden hives.,Drug Reaction
Sweating and headache and muscle ache which is getting worse.,Malaria
Dealing with severe nausea and shortness of breath.,Heart attack
"Started with dizziness, now I also feel sensitivity to sound.",Migraine
Ringworm spots,Fungal infection
Constant sneezing and nasal congestion which is getting worse.,Allergy
I've been suffering from loss of interest in hobbies and fatigue and low energy for a few days.,Depression
I've been suffering from baby crying and hot and toddler high temperature for a few days.,Toddler high fever
"Started with dark tea colored urine, now I also feel loss of appetite.",Jaundice
Experiencing sudden weakness along with numbness in arm.,Paralysis (brain hemorrhage)
Complaining of yellow skin color together with dark tea colored urine.,Jaundice
Itchy throat and runny nose which is getting worse.,Allergy
Dealing with severe night sweats and coughing up blood.,Tuberculosis
I've been suffering from blood while brushing teeth and red tender gums for a few days.,Bleeding gums
"Started with skin plaques, now I also feel silver scaly patches.",Psoriasis
Blisters,Impetigo
Dealing with severe tooth sensitivity to hot cold and cavity in molar.,Cavity
I have disturbed sleep and staying awake at night.,Insomnia
Experiencing fatigue along with dark tea colored urine.,Jaundice
Sweating and rapid weight loss which is getting worse.,Hyperthyroidism
Complaining of fatigue together with abdominal discomfort.,Hepatitis D
Complaining of fungal patches on toes together with dry scaly patches.,Fungal infection
Dealing with severe dry skin and unexplained weight gain.,Hypothyroidism
I feel shakiness and sweating and hunger and confusion.,Hypoglycemia
Dealing with severe rapid weight loss and anxiety and tremors.,Hyperthyroidism
Dealing with severe severe headache and shortness of breath.,Hypertension
I have swollen purple veins on legs and spider veins.,Varicose veins
Complaining of cavity in molar together with tooth sensitivity to hot cold.,Cavity
Dealing with severe pimples on face and blackheads.,Acne
Lower pelvic pain and cloudy foul urine which is getting worse.,Urinary tract infection
"Started with left arm pain, now I also feel shortness of breath.",Heart attack
Severe shivering,Malaria
Runny nose,Common Cold
I feel itchy fluid filled blisters and rash spread all over skin.,Chicken pox
Complaining of yellow skin color together with yellow eyes.,Jaundice
I have loss of appetite and yellow skin.,Hepatitis B
Experiencing facial pain under eyes along with sinus headache.,Sinusitis
Nervous stomach,Anxiety
Experiencing sinus headache along with thick yellow nasal discharge.,Sinusitis
Dealing with severe unable to fall asleep and disturbed sleep.,Insomnia
Vertigo and loss of balance which is getting worse.,(vertigo) Paroxysmal Positional Vertigo
"Started with sudden weakness, now I also feel difficulty walking.",Paralysis (brain hemorrhage)
Vomiting and watery diarrhea which is getting worse.,Gastroenteritis
I've been suffering from extreme body weakness and headache for a few days.,Typhoid
Rapid weight loss,Hyperthyroidism
Experiencing itchy fluid filled blisters along with fever.,Chicken pox
I've been suffering from numbness in fingers and arm tingling for a few days.,Cervical spondylosis
Chest burn after eating and heartburn which is getting worse.,GERD
Fatigue and low energy,Depression
Fungal patches on toes,Fungal infection
Experiencing itching in anal area along with anal lumps.,Dimorphic hemorrhoids(piles)
Experiencing heartburn along with acid reflux.,GERD
Complaining of sweating together with heat sensitivity.,Hyperthyroidism
Sudden hives,Drug Reaction
Dealing with severe ear pain and clogged ear sensation.,Otitis Media
Dizziness,Hypertension
Dealing with severe fever and dark yellow urine.,Hepatitis E
I've been suffering from abdominal swelling and jaundice after heavy drinking for a few days.,Alcoholic hepatitis
Experiencing runny nose along with constant sneezing.,Allergy
I feel sudden dizziness and hunger and confusion.,Hypoglycemia
Sweaty palms,Anxiety
I have sudden dizziness and heart palpitations.,Hypoglycemia
Complaining of body aches together with itchy fluid filled blisters.,Chicken pox
"Started with sensitivity to sound, now I also feel throbbing headache.",Migraine
Dealing with severe nausea and vomiting.,Gastroenteritis
I have red itchy skin rash and ringworm spots.,Fungal infection
